connection,from,from_role,to,to_role
inherits,BinaryAttachmentBody,Service Provider,TempFileBody,Information Holder
inherits,Body,Service Provider,BinaryMemoryBody,Information Holder
inherits,Body,Service Provider,BinaryTempFileMessageBody,Information Holder
inherits,Body,Service Provider,FileBackedBody,Information Holder
inherits,Body,Service Provider,TextBody,Information Holder
inherits,MergeCursor,Service Provider,MergeCursorWithUniqueId,Information Holder
inherits,Part,Service Provider,BodyPart,Information Holder
inherits,RawDataBody,Service Provider,BinaryMemoryBody,Information Holder
inherits,RawDataBody,Service Provider,BinaryTempFileBody,Information Holder
inherits,RawDataBody,Service Provider,FileBackedBody,Information Holder
inherits,SizeAware,Service Provider,BinaryMemoryBody,Information Holder
inherits,SizeAware,Service Provider,BinaryTempFileBody,Information Holder
inherits,SizeAware,Service Provider,FileBackedBody,Information Holder
inherits,SizeAware,Service Provider,TempFileBody,Information Holder
inherits,SizeAware,Service Provider,TextBody,Information Holder
inherits,Store,Information Holder,LocalStore,Service Provider
uses,AttachmentContentLoader,Service Provider,Attachment,Information Holder
uses,AttachmentInfoExtractor,Service Provider,AttachmentViewInfo,Information Holder
uses,AttachmentInfoLoader,Service Provider,Attachment,Information Holder
uses,EmailProvider,Service Provider,Account,Information Holder
uses,HtmlQuoteCreator,Service Provider,InsertableHtmlContent,Information Holder
uses,IdentityHelper,Service Provider,Identity,Information Holder
uses,ImapConnection,Service Provider,AuthenticationFailedException,Information Holder
uses,ImapConnection,Service Provider,ImapResponse,Information Holder
uses,ImapConnection,Service Provider,MessagingException,Information Holder
uses,ImapResponseParser,Service Provider,ImapResponse,Information Holder
uses,ImapStoreUriDecoder,Service Provider,ImapStoreSettings,Information Holder
uses,ImapUtility,Service Provider,ImapResponse,Information Holder
uses,LocalMessageExtractorLoader,Service Provider,MessageViewInfo,Information Holder
uses,LocalMessageLoader,Service Provider,LocalMessage,Information Holder
uses,LocalStore,Service Provider,Account,Information Holder
uses,LocalStore,Service Provider,LocalFolder,Information Holder
uses,LocalStore,Service Provider,LocalMessage,Information Holder
uses,MessageBuilder,Service Provider,MimeMultipart,Information Holder
uses,MessageBuilder,Service Provider,TextBody,Information Holder
uses,MessageLoaderHelper,Service Provider,MessageViewInfo,Information Holder
uses,MessagePreviewCreator,Service Provider,PreviewResult,Information Holder
uses,MlfUtils,Service Provider,LocalFolder,Information Holder
uses,NotificationContentCreator,Service Provider,NotificationContent,Information Holder
uses,Pop3Store,Service Provider,ServerSettings,Information Holder
uses,SmtpTransport,Service Provider,MessagingException,Information Holder
uses,TextBodyBuilder,Service Provider,InsertableHtmlContent,Information Holder
uses,TextBodyBuilder,Service Provider,TextBody,Information Holder
uses,TransportUris,Service Provider,ServerSettings,Information Holder
