connection,from,from_role,to,to_role
inherits,Body,Service Provider,BinaryAttachmentBody,Service Provider
inherits,Body,Service Provider,RawDataBody,Service Provider
inherits,BodyFactory,Service Provider,DefaultBodyFactory,Service Provider
inherits,CoreReceiver,Service Provider,BootReceiver,Service Provider
inherits,CoreReceiver,Service Provider,RemoteControlReceiver,Service Provider
inherits,CoreService,Service Provider,PollService,Service Provider
inherits,CoreService,Service Provider,PushService,Service Provider
inherits,CoreService,Service Provider,SleepService,Service Provider
inherits,ImapResponseCallback,Service Provider,FetchBodyCallback,Service Provider
inherits,MessageBuilder,Service Provider,PgpMessageBuilder,Service Provider
inherits,MessageBuilder,Service Provider,SimpleMessageBuilder,Service Provider
inherits,MessagingListener,Service Provider,SimpleMessagingListener,Service Provider
inherits,Pusher,Service Provider,ImapPusher,Service Provider
inherits,RawDataBody,Service Provider,DeferredFileBody,Service Provider
inherits,SimpleMessagingListener,Service Provider,ActivityListener,Service Provider
inherits,SizeAware,Service Provider,DeferredFileBody,Service Provider
inherits,Transport,Service Provider,SmtpTransport,Service Provider
inherits,Transport,Service Provider,WebDavTransport,Service Provider
inherits,UriParser,Service Provider,BitcoinUriParser,Service Provider
inherits,UriParser,Service Provider,EthereumUriParser,Service Provider
inherits,UriParser,Service Provider,HttpUriParser,Service Provider
inherits,BaseAccount,Information Holder,Account,Information Holder
inherits,BinaryTempFileBody,Information Holder,BinaryTempFileMessageBody,Information Holder
inherits,MessagingException,Information Holder,AuthenticationFailedException,Information Holder
inherits,MessagingException,Information Holder,CertificateValidationException,Information Holder
inherits,MessagingException,Information Holder,NegativeImapResponseException,Information Holder
inherits,MessagingException,Information Holder,NegativeSmtpReplyException,Information Holder
inherits,MessagingException,Information Holder,UnavailableStorageException,Information Holder
inherits,NegativeSmtpReplyException,Information Holder,EnhancedNegativeSmtpReplyException,Information Holder
inherits,ServerSettings,Information Holder,ImapStoreSettings,Information Holder
inherits,ServerSettings,Information Holder,WebDavStoreSettings,Information Holder
inherits,StoreConfig,Information Holder,Account,Information Holder
uses,AutocryptHeaderParser,Service Provider,AutocryptHeader,Service Provider
uses,BodyFactory,Service Provider,Body,Service Provider
uses,ContactPicture,Service Provider,ContactPictureLoader,Service Provider
uses,DecryptedFileProvider,Service Provider,FileFactory,Service Provider
uses,DefaultBodyFactory,Service Provider,Body,Service Provider
uses,EmailProvider,Service Provider,LockableDatabase,Service Provider
uses,ListHeaders,Service Provider,Address,Service Provider
uses,LocalStore,Service Provider,AttachmentCounter,Service Provider
uses,LocalStore,Service Provider,AttachmentInfoExtractor,Service Provider
uses,LocalStore,Service Provider,LockableDatabase,Service Provider
uses,LocalStore,Service Provider,MessageFulltextCreator,Service Provider
uses,LocalStore,Service Provider,MessagePreviewCreator,Service Provider
uses,LocalStore,Service Provider,Part,Service Provider
uses,LockableDatabase,Service Provider,StorageManager,Service Provider
uses,MessageCryptoStructureDetector,Service Provider,Part,Service Provider
uses,MimePartStreamParser,Service Provider,Body,Service Provider
uses,MimeUtility,Service Provider,Part,Service Provider
uses,Part,Service Provider,Body,Service Provider
uses,TextPartFinder,Service Provider,Part,Service Provider
uses,TransportProvider,Service Provider,Transport,Service Provider
uses,WebDavFolder,Service Provider,WebDavMessage,Service Provider
uses,Account,Information Holder,AccountStats,Information Holder
uses,Account,Information Holder,Identity,Information Holder
uses,Account,Information Holder,NotificationSetting,Information Holder
uses,Account,Information Holder,Store,Information Holder
uses,AddNotificationResult,Information Holder,NotificationHolder,Information Holder
uses,ImapSettings,Information Holder,AuthType,Information Holder
uses,ImapSettings,Information Holder,ConnectionSecurity,Information Holder
uses,ImapStoreSettings,Information Holder,ServerSettings,Information Holder
uses,LocalBodyPart,Information Holder,LocalMessage,Information Holder
uses,LocalFolder,Information Holder,Account,Information Holder
uses,LocalFolder,Information Holder,LocalMessage,Information Holder
uses,LocalFolder,Information Holder,ThreadInfo,Information Holder
uses,LocalMessage,Information Holder,Account,Information Holder
uses,LocalMessage,Information Holder,LocalFolder,Information Holder
uses,LocalMessage,Information Holder,MessageReference,Information Holder
uses,LocalMimeMessage,Information Holder,LocalMessage,Information Holder
uses,MessageReference,Information Holder,Flag,Information Holder
uses,NegativeImapResponseException,Information Holder,ImapResponse,Information Holder
uses,RemoveNotificationResult,Information Holder,NotificationHolder,Information Holder
uses,WebDavStore,Information Holder,ConnectionInfo,Information Holder
uses,WebDavStore,Information Holder,StoreConfig,Information Holder
uses,WebDavStore,Information Holder,WebDavStoreSettings,Information Holder
uses,WebDavStoreSettings,Information Holder,ServerSettings,Information Holder
calls,AccountReceiver,Service Provider,K9AccountReceptor,Service Provider
calls,AttachmentCounter,Service Provider,EncryptionDetector,Service Provider
calls,AttachmentInfoExtractor,Service Provider,DeferredFileBody,Service Provider
calls,AttachmentInfoExtractor,Service Provider,Part,Service Provider
calls,AttachmentResolver,Service Provider,AttachmentInfoExtractor,Service Provider
calls,AttachmentResolver,Service Provider,Part,Service Provider
calls,AutocryptOperations,Service Provider,AutocryptHeader,Service Provider
calls,AutocryptOperations,Service Provider,AutocryptHeaderParser,Service Provider
calls,CharsetSupport,Service Provider,Part,Service Provider
calls,ContactPictureLoader,Service Provider,Address,Service Provider
calls,ContactPictureLoader,Service Provider,Contacts,Service Provider
calls,Contacts,Service Provider,Address,Service Provider
calls,CoreReceiver,Service Provider,TracingPowerManager,Service Provider
calls,CoreService,Service Provider,TracingPowerManager,Service Provider
calls,DatabaseUpgradeService,Service Provider,TracingPowerManager,Service Provider
calls,DeferredFileBody,Service Provider,FileFactory,Service Provider
calls,DeviceNotifications,Service Provider,NotificationActionCreator,Service Provider
calls,EncryptionDetector,Service Provider,Part,Service Provider
calls,EncryptionDetector,Service Provider,TextPartFinder,Service Provider
calls,ImapConnection,Service Provider,CapabilityResponse,Service Provider
calls,ImapConnection,Service Provider,ImapResponseParser,Service Provider
calls,ImapConnection,Service Provider,NamespaceResponse,Service Provider
calls,ImapConnection,Service Provider,OAuth2TokenProvider,Service Provider
calls,ImapConnection,Service Provider,TrustedSocketFactory,Service Provider
calls,ImapResponseParser,Service Provider,PeekableInputStream,Service Provider
calls,ImapResponseParser,Service Provider,UntaggedHandler,Service Provider
calls,LocalStore,Service Provider,Body,Service Provider
calls,LocalStore,Service Provider,LockableDatabase,Service Provider
calls,LocalStore,Service Provider,Part,Service Provider
calls,LocalStore,Service Provider,StorageManager,Service Provider
calls,MessageBuilder,Service Provider,Address,Service Provider
calls,MessageBuilder,Service Provider,BoundaryGenerator,Service Provider
calls,MessageBuilder,Service Provider,TextBodyBuilder,Service Provider
calls,MessageCryptoHelper,Service Provider,AutocryptOperations,Service Provider
calls,MessageCryptoHelper,Service Provider,Body,Service Provider
calls,MessageCryptoHelper,Service Provider,MessageCryptoCallback,Service Provider
calls,MessageCryptoHelper,Service Provider,OpenPgpApiFactory,Service Provider
calls,MessageCryptoHelper,Service Provider,Part,Service Provider
calls,MessageCryptoStructureDetector,Service Provider,Part,Service Provider
calls,MessageExtractor,Service Provider,Part,Service Provider
calls,MessageFulltextCreator,Service Provider,EncryptionDetector,Service Provider
calls,MessageFulltextCreator,Service Provider,Part,Service Provider
calls,MessageFulltextCreator,Service Provider,TextPartFinder,Service Provider
calls,MessageHelper,Service Provider,Part,Service Provider
calls,MessageLoaderHelper,Service Provider,LocalMessageExtractorLoader,Service Provider
calls,MessageLoaderHelper,Service Provider,LocalMessageLoader,Service Provider
calls,MessageLoaderHelper,Service Provider,MessageCryptoHelper,Service Provider
