case_name,case_url,version_tag,full_classname,classname,isStaticClass,isInterface,isInnerClass,isClass,isEnum,classPublicity,isAbstract,label
K-9 Mail,https://github.com/k9mail/k-9/,5.304,com.fsck.k9.mail.AuthType,AuthType,FALSE,FALSE,FALSE,FALSE,TRUE,public,FALSE,Information Holder
K-9 Mail,https://github.com/k9mail/k-9/,5.304,com.fsck.k9.mailstore.BinaryMemoryBody,BinaryMemoryBody,FALSE,FALSE,FALSE,TRUE,FALSE,public,FALSE,Information Holder
K-9 Mail,https://github.com/k9mail/k-9/,5.304,com.fsck.k9.mail.Address,Address,FALSE,FALSE,FALSE,TRUE,FALSE,public,FALSE,Service Provider
K-9 Mail,https://github.com/k9mail/k-9/,5.304,com.fsck.k9.mail.Authentication,Authentication,FALSE,FALSE,FALSE,TRUE,FALSE,public,FALSE,Service Provider
K-9 Mail,https://github.com/k9mail/k-9/,5.304,com.fsck.k9.mail.AuthenticationFailedException,AuthenticationFailedException,FALSE,FALSE,FALSE,TRUE,FALSE,public,FALSE,Information Holder
K-9 Mail,https://github.com/k9mail/k-9/,5.304,com.fsck.k9.mail.Body,Body,FALSE,TRUE,FALSE,FALSE,FALSE,public,FALSE,Service Provider
K-9 Mail,https://github.com/k9mail/k-9/,5.304,com.fsck.k9.mail.BodyFactory,BodyFactory,FALSE,TRUE,FALSE,FALSE,FALSE,public,FALSE,Service Provider
K-9 Mail,https://github.com/k9mail/k-9/,5.304,com.fsck.k9.mail.BodyPart,BodyPart,FALSE,FALSE,FALSE,TRUE,FALSE,public,TRUE,Information Holder
K-9 Mail,https://github.com/k9mail/k-9/,5.304,com.fsck.k9.mail.BoundaryGenerator,BoundaryGenerator,FALSE,FALSE,FALSE,TRUE,FALSE,public,FALSE,Service Provider
K-9 Mail,https://github.com/k9mail/k-9/,5.304,com.fsck.k9.mail.CertificateChainException,CertificateChainException,FALSE,FALSE,FALSE,TRUE,FALSE,public,FALSE,Information Holder
K-9 Mail,https://github.com/k9mail/k-9/,5.304,com.fsck.k9.mail.CertificateValidationException$Reason,CertificateValidationException$Reason,FALSE,FALSE,TRUE,FALSE,TRUE,public,FALSE,Information Holder
K-9 Mail,https://github.com/k9mail/k-9/,5.304,com.fsck.k9.mail.CertificateValidationException,CertificateValidationException,FALSE,FALSE,FALSE,TRUE,FALSE,public,FALSE,Information Holder
K-9 Mail,https://github.com/k9mail/k-9/,5.304,com.fsck.k9.mail.ConnectionSecurity,ConnectionSecurity,FALSE,FALSE,FALSE,FALSE,TRUE,public,FALSE,Information Holder
K-9 Mail,https://github.com/k9mail/k-9/,5.304,com.fsck.k9.mail.DefaultBodyFactory,DefaultBodyFactory,FALSE,FALSE,FALSE,TRUE,FALSE,public,FALSE,Service Provider
K-9 Mail,https://github.com/k9mail/k-9/,5.304,com.fsck.k9.mail.FetchProfile$Item,FetchProfile$Item,FALSE,FALSE,TRUE,FALSE,TRUE,public,FALSE,Information Holder
K-9 Mail,https://github.com/k9mail/k-9/,5.304,com.fsck.k9.mail.FetchProfile,FetchProfile,FALSE,FALSE,FALSE,TRUE,FALSE,public,FALSE,Structurer
K-9 Mail,https://github.com/k9mail/k-9/,5.304,com.fsck.k9.mail.Flag,Flag,FALSE,FALSE,FALSE,FALSE,TRUE,public,FALSE,Information Holder
K-9 Mail,https://github.com/k9mail/k-9/,5.304,com.fsck.k9.mail.Folder$FolderClass,Folder$FolderClass,FALSE,FALSE,TRUE,FALSE,TRUE,public,FALSE,Information Holder
K-9 Mail,https://github.com/k9mail/k-9/,5.304,com.fsck.k9.mail.Folder$FolderType,Folder$FolderType,FALSE,FALSE,TRUE,FALSE,TRUE,public,FALSE,Information Holder
K-9 Mail,https://github.com/k9mail/k-9/,5.304,com.fsck.k9.mail.Folder,Folder,FALSE,FALSE,FALSE,TRUE,FALSE,public,TRUE,Structurer
K-9 Mail,https://github.com/k9mail/k-9/,5.304,com.fsck.k9.mail.K9MailLib$DebugStatus,K9MailLib$DebugStatus,FALSE,TRUE,TRUE,FALSE,FALSE,public,FALSE,Information Holder
K-9 Mail,https://github.com/k9mail/k-9/,5.304,com.fsck.k9.mail.K9MailLib$DefaultDebugStatus,K9MailLib$DefaultDebugStatus,TRUE,FALSE,TRUE,TRUE,FALSE,private,FALSE,Information Holder
K-9 Mail,https://github.com/k9mail/k-9/,5.304,com.fsck.k9.mail.K9MailLib$WritableDebugStatus,K9MailLib$WritableDebugStatus,FALSE,TRUE,TRUE,FALSE,FALSE,private,FALSE,Information Holder
K-9 Mail,https://github.com/k9mail/k-9/,5.304,com.fsck.k9.mail.K9MailLib,K9MailLib,FALSE,FALSE,FALSE,TRUE,FALSE,public,FALSE,Information Holder
K-9 Mail,https://github.com/k9mail/k-9/,5.304,com.fsck.k9.mail.Message$RecipientType,Message$RecipientType,FALSE,FALSE,TRUE,FALSE,TRUE,public,FALSE,Information Holder
K-9 Mail,https://github.com/k9mail/k-9/,5.304,com.fsck.k9.mail.Message,Message,FALSE,FALSE,FALSE,TRUE,FALSE,public,TRUE,Structurer
K-9 Mail,https://github.com/k9mail/k-9/,5.304,com.fsck.k9.mail.MessageRetrievalListener,MessageRetrievalListener,FALSE,TRUE,FALSE,FALSE,FALSE,public,FALSE,Structurer
K-9 Mail,https://github.com/k9mail/k-9/,5.304,com.fsck.k9.mail.MessagingException,MessagingException,FALSE,FALSE,FALSE,TRUE,FALSE,public,FALSE,Information Holder
K-9 Mail,https://github.com/k9mail/k-9/,5.304,com.fsck.k9.mail.Multipart,Multipart,FALSE,FALSE,FALSE,TRUE,FALSE,public,TRUE,Structurer
K-9 Mail,https://github.com/k9mail/k-9/,5.304,com.fsck.k9.mail.NetworkType,NetworkType,FALSE,FALSE,FALSE,FALSE,TRUE,public,FALSE,Information Holder
K-9 Mail,https://github.com/k9mail/k-9/,5.304,com.fsck.k9.mail.Part,Part,FALSE,TRUE,FALSE,FALSE,FALSE,public,FALSE,Service Provider
K-9 Mail,https://github.com/k9mail/k-9/,5.304,com.fsck.k9.mail.PushReceiver,PushReceiver,FALSE,TRUE,FALSE,FALSE,FALSE,public,FALSE,Service Provider
K-9 Mail,https://github.com/k9mail/k-9/,5.304,com.fsck.k9.mail.Pusher,Pusher,FALSE,TRUE,FALSE,FALSE,FALSE,public,FALSE,Service Provider
K-9 Mail,https://github.com/k9mail/k-9/,5.304,com.fsck.k9.mail.ServerSettings$Type,ServerSettings$Type,FALSE,FALSE,TRUE,FALSE,TRUE,public,FALSE,Information Holder
K-9 Mail,https://github.com/k9mail/k-9/,5.304,com.fsck.k9.mail.ServerSettings,ServerSettings,FALSE,FALSE,FALSE,TRUE,FALSE,public,FALSE,Information Holder
K-9 Mail,https://github.com/k9mail/k-9/,5.304,com.fsck.k9.mail.Store,Store,FALSE,FALSE,FALSE,TRUE,FALSE,public,TRUE,Information Holder
K-9 Mail,https://github.com/k9mail/k-9/,5.304,com.fsck.k9.mail.Transport,Transport,FALSE,FALSE,FALSE,TRUE,FALSE,public,TRUE,Service Provider
K-9 Mail,https://github.com/k9mail/k-9/,5.304,com.fsck.k9.mail.TransportProvider,TransportProvider,FALSE,FALSE,FALSE,TRUE,FALSE,public,FALSE,Service Provider
K-9 Mail,https://github.com/k9mail/k-9/,5.304,com.fsck.k9.mail.TransportUris,TransportUris,FALSE,FALSE,FALSE,TRUE,FALSE,public,FALSE,Service Provider
K-9 Mail,https://github.com/k9mail/k-9/,5.304,com.fsck.k9.mail.transport.WebDavTransport,WebDavTransport,FALSE,FALSE,FALSE,TRUE,FALSE,public,FALSE,Service Provider
